Datetime,Turbidity,Reading,Value,Unit,Data Quality
2025-05-18 13:41:15,34.53,2025-05-18 13:54:23,80.31,in,A
2025-05-18 14:41:16,33.73,2025-05-18 14:54:23,80.31,in,A
2025-05-18 14:56:16,33.68,2025-05-18 14:54:23,80.31,in,A
2025-05-18 15:41:15,35.17,2025-05-18 15:54:23,80.31,in,A
2025-05-18 16:41:15,34.68,2025-05-18 16:54:23,80.31,in,A
2025-05-18 17:41:15,36.21,2025-05-18 17:54:23,80.31,in,A
2025-05-19 06:56:18,31.62,2025-05-19 06:54:23,80.31,in,A
2025-05-19 07:41:17,32.58,2025-05-19 07:54:23,80.31,in,A
2025-05-19 07:56:17,32.95,2025-05-19 07:54:23,80.31,in,A
2025-05-19 08:41:17,32.09,2025-05-19 08:54:23,80.31,in,A
2025-05-19 08:56:17,31.95,2025-05-19 08:54:23,80.31,in,A
2025-05-19 09:41:17,34.43,2025-05-19 09:54:23,80.31,in,A
2025-05-19 09:56:18,33.82,2025-05-19 09:54:23,80.31,in,A
2025-05-19 10:41:17,33.22,2025-05-19 10:54:23,80.31,in,A
2025-05-19 10:56:17,33.43,2025-05-19 10:54:23,80.31,in,A
2025-05-19 11:41:18,33.8,2025-05-19 11:54:23,80.31,in,A
2025-05-19 11:56:18,33.55,2025-05-19 11:54:23,80.31,in,A
2025-05-19 12:41:18,34.21,2025-05-19 12:54:23,80.31,in,A
2025-05-19 12:56:18,33.75,2025-05-19 12:54:23,80.31,in,A
2025-05-19 13:41:19,33.64,2025-05-19 13:54:23,80.31,in,A
2025-05-19 14:41:18,33.56,2025-05-19 14:54:23,80.31,in,A
2025-05-19 14:56:18,32.49,2025-05-19 14:54:23,80.31,in,A
2025-05-19 15:41:18,33.3,2025-05-19 15:54:23,80.31,in,A
2025-05-19 15:56:18,33.72,2025-05-19 15:54:23,80.31,in,A
2025-05-19 16:41:19,32.33,2025-05-19 16:54:23,80.31,in,A
2025-05-19 16:56:18,33.95,2025-05-19 16:54:23,80.31,in,A
2025-05-19 17:41:18,32.93,2025-05-19 17:54:23,80.31,in,A
2025-05-20 06:56:20,30.05,2025-05-20 06:54:23,80.31,in,A
2025-05-20 07:41:19,29.85,2025-05-20 07:54:23,80.31,in,A
2025-05-20 07:56:19,31.06,2025-05-20 07:54:23,80.31,in,A
2025-05-20 08:41:20,30.07,2025-05-20 08:54:23,80.31,in,A
2025-05-20 08:56:20,30.95,2025-05-20 08:54:23,80.31,in,A
2025-05-20 09:41:19,30.31,2025-05-20 09:54:23,80.31,in,A
